query_id,inliers_top1,baseline_correct,reranked_correct
464,97.0,1,1
465,152.0,1,1
466,265.0,1,1
467,216.0,1,1
468,239.0,1,1
469,183.0,1,1
470,188.0,1,1
471,209.0,1,1
472,119.0,1,1
473,199.0,1,1
474,34.0,1,1
475,234.0,1,1
476,33.0,0,1
477,162.0,1,1
478,215.0,1,1
479,220.0,1,1
480,8.0,0,0
481,145.0,1,1
482,7.0,0,0
483,10.0,0,0
484,10.0,0,1
485,10.0,0,1
486,9.0,0,1
487,119.0,1,1
488,11.0,0,1
489,89.0,1,1
490,57.0,1,1
491,87.0,1,1
492,12.0,0,0
493,81.0,1,1
494,36.0,1,1
495,13.0,0,1
496,7.0,0,1
497,63.0,1,1
498,8.0,0,0
499,93.0,1,1
500,88.0,1,1
501,8.0,0,0
502,42.0,1,1
503,13.0,0,0
504,109.0,1,1
505,10.0,0,1
506,182.0,1,1
507,11.0,0,1
508,11.0,1,1
509,38.0,1,1
510,6.0,0,0
511,8.0,0,0
512,36.0,1,1
513,9.0,0,0
514,122.0,1,1
515,11.0,0,0
516,23.0,1,1
517,97.0,1,1
518,133.0,1,1
519,112.0,1,1
520,11.0,0,1
521,7.0,0,0
522,33.0,1,0
523,59.0,1,1
524,16.0,1,0
525,8.0,0,0
526,71.0,1,1
527,49.0,1,1
528,8.0,0,1
529,12.0,0,0
530,8.0,0,0
531,67.0,1,1
532,6.0,0,0
533,8.0,0,1
534,9.0,0,1
535,11.0,0,0
536,8.0,0,1
537,6.0,0,1
538,80.0,1,1
539,8.0,0,0
540,11.0,0,0
541,6.0,0,0
542,14.0,0,0
543,9.0,0,0
544,8.0,0,0
545,65.0,1,1
546,129.0,1,1
547,12.0,0,1
548,8.0,0,0
549,9.0,0,0
550,24.0,1,1
551,7.0,0,0
552,54.0,1,1
553,8.0,0,0
554,19.0,1,1
555,6.0,0,0
556,9.0,0,0
557,89.0,1,1
558,10.0,0,0
559,12.0,1,1
560,85.0,1,1
561,10.0,0,1
562,25.0,1,1
563,81.0,1,1
564,8.0,0,1
565,7.0,0,1
566,9.0,0,1
567,107.0,1,1
568,7.0,0,1
569,56.0,1,1
570,6.0,0,0
571,85.0,1,1
572,92.0,1,1
573,6.0,0,1
574,11.0,1,1
575,184.0,1,1
576,44.0,1,1
577,11.0,0,0
578,9.0,0,1
